act,section,description
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(5)(c), one year in any other case
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(6),
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(6)(a),The imprisonment which is imposed in default of payment of a fine shall terminate whenever that fine is either paid or levied by process of law;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(6)(b),"If, before the expiration of the term of imprisonment fixed in default of payment, such a proportion of the fine be paid or levied that the term of imprisonment suffered in default of payment is not less than proportional to the part of the fine still unpaid, the imprisonment shall terminate"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(7),"The fine, or any part thereof which remains unpaid, may be levied at any time within six years after the passing of the sentence, and if, under the sentence, the offender be liable to imprisonment for a longer period than six years, then at any time previous to the expiration of that period; and the death of the offender does not discharge from the liability any property which would, after his death, be legally liable for his debts."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",80,Dowry Death
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",80(1),"Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and such husband or relative shall be deemed to have caused her death."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",80(2),Whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",81,"Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",82,Marrying again during lifetime of husband or wife.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",82(1),"Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",82(2),"Whoever commits the offence under sub-section (1) having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",83,"Whoever, dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he is not thereby lawfully married, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",84,"Whoever takes or entices away any woman who is and whom he knows or has reason to believe to be the wife of any other man, with intent that she may have illicit intercourse with any person, or conceals or detains with that intent any such woman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",85,"Whoever, being the husband or the relative of the husband of a woman, subjects such woman to cruelty shall be punished with imprisonment for a term which may extend to three years and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",86,"For the purposes of section 85, “cruelty” means—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",86(a),"any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide or to cause grave injury or danger to life, limb or health (whether mental or physical) of the woman; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",86(b),harassment of the woman where such harassment is with a view to coercing her or any person related to her to meet any unlawful demand for any property or valuable security or is on account of failure by her or any person related to her to meet such demand.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",87,"Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and whoever, by means of criminal intimidation as defined in this Sanhita or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall also be punishable as aforesaid."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",88,"Whoever voluntarily causes a woman with child to miscarry, shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",89,"Whoever commits the offence under section 88 without the consent of the woman, whether the woman is quick with child or not, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",9,Limit of punishment of offence made up of several offence
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",9(1),"Where anything which is an offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished with the punishment of more than one of such his offences, unless it be so expressly provided. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",9(2),Where—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",9(2)(a), anything is an offence falling within two or more separate definitions of any law in force for the time being by which offences are defined or punished; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",9(2)(b),"several acts, of which one or more than one would by itself or themselves constitute an offence, constitute, when combined, a different offence, the offender shall not be punished with a more severe punishment than the Court which tries him could award for any one of such offences."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",90,Death caused by act done with intent to cause miscarriage.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",90(1),"Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",90(2),"Where the act referred to in sub-section (1) is done without the consent of the woman, shall be punishable either with imprisonment for life, or with the punishment specified in said sub-section."
